call_number,file1,file2
ENA NS 24 018,ENA_NS_24_018_r.tif.jpg,ENA_NS_24_018_v.tif.jpg
ENA NS 24 019,ENA_NS_24_019_r.tif.jpg,ENA_NS_24_019_v.tif.jpg
ENA NS 24 020,ENA_NS_24_020_r.tif.jpg,ENA_NS_24_020_v.tif.jpg
ENA NS 24 021,ENA_NS_24_021_r.tif.jpg,ENA_NS_24_021_v.tif.jpg
ENA NS 24 022,ENA_NS_24_022_r.tif.jpg,ENA_NS_24_022_v.tif.jpg
ENA NS 24 023,ENA_NS_24_023_r.tif.jpg,ENA_NS_24_023_v.tif.jpg
ENA NS 24 024,ENA_NS_24_024_r.tif.jpg,ENA_NS_24_024_v.tif.jpg
ENA NS 24 025,ENA_NS_24_025_r.tif.jpg,ENA_NS_24_025_v.tif.jpg
ENA NS 24 026,ENA_NS_24_026_r.tif.jpg,ENA_NS_24_026_v.tif.jpg
ENA NS 24 027,ENA_NS_24_027_r.tif.jpg,ENA_NS_24_027_v.tif.jpg
ENA NS 24 028,ENA_NS_24_028_r.tif.jpg,ENA_NS_24_028_v.tif.jpg
ENA NS 24 029,ENA_NS_24_029_r.tif.jpg,ENA_NS_24_029_v.tif.jpg
ENA NS 24 030,ENA_NS_24_030_r.tif.jpg,ENA_NS_24_030_v.tif.jpg
ENA NS 24 031,ENA_NS_24_031_r.tif.jpg,ENA_NS_24_031_v.tif.jpg
ENA NS 24 032,ENA_NS_24_032_r.tif.jpg,ENA_NS_24_032_v.tif.jpg
ENA NS 24 033,ENA_NS_24_033_r.tif.jpg,ENA_NS_24_033_v.tif.jpg
ENA NS 24 034,ENA_NS_24_034_r.tif.jpg,ENA_NS_24_034_v.tif.jpg
ENA NS 24 035,ENA_NS_24_035_r.tif.jpg,ENA_NS_24_035_v.tif.jpg
ENA NS 24 036,ENA_NS_24_036_r.tif.jpg,ENA_NS_24_036_v.tif.jpg
ENA NS 24 037,ENA_NS_24_037_r.tif.jpg,ENA_NS_24_037_v.tif.jpg
ENA NS 24 038,ENA_NS_24_038_r.tif.jpg,ENA_NS_24_038_v.tif.jpg
ENA NS 24 039,ENA_NS_24_039_r.tif.jpg,ENA_NS_24_039_v.tif.jpg
ENA NS 24 040,ENA_NS_24_040_r.tif.jpg,ENA_NS_24_040_v.tif.jpg
ENA NS 25 001,ENA_NS_25_001_r.tif.jpg,ENA_NS_25_001_v.tif.jpg
ENA NS 25 002,ENA_NS_25_002_r.tif.jpg,ENA_NS_25_002_v.tif.jpg
ENA NS 25 003,ENA_NS_25_003_r.tif.jpg,ENA_NS_25_003_v.tif.jpg
ENA NS 25 004,ENA_NS_25_004_r.tif.jpg,ENA_NS_25_004_v.tif.jpg
ENA NS 25 005,ENA_NS_25_005_r.tif.jpg,ENA_NS_25_005_v.tif.jpg
ENA NS 25 006,ENA_NS_25_006_r.tif.jpg,ENA_NS_25_006_v.tif.jpg
ENA NS 25 007,ENA_NS_25_007_r.tif.jpg,ENA_NS_25_007_v.tif.jpg
